Entity,country_id
Afghanistan,1
Albania,2
Algeria,3
Angola,4
Antigua and Barbuda,5
Argentina,6
Armenia,7
Aruba,8
Australia,9
Austria,10
Azerbaijan,11
Bahamas,12
Bahrain,13
Bangladesh,14
Barbados,15
Belarus,16
Belgium,17
Belize,18
Benin,19
Bermuda,20
Bhutan,21
Bolivia,22
Bosnia and Herzegovina,23
Botswana,24
Brazil,25
Brunei,26
Bulgaria,27
Burkina Faso,28
Burundi,29
Cambodia,30
Cameroon,31
Canada,32
Cape Verde,33
Cayman Islands,34
Central African Republic,35
Chad,36
Chile,37
China,38
Colombia,39
Comoros,40
Congo,41
Costa Rica,42
Cote d'Ivoire,43
Croatia,44
Cuba,45
Curacao,46
Cyprus,47
Czechia,48
Czechoslovakia,49
Democratic Republic of Congo,50
Denmark,51
Djibouti,52
Dominica,53
Dominican Republic,54
East Timor,55
Ecuador,56
Egypt,57
El Salvador,58
Equatorial Guinea,59
Estonia,60
Eswatini,61
Ethiopia,62
Ethiopia (former),63
Fiji,64
Finland,65
France,66
French Polynesia,67
Gabon,68
Gambia,69
Georgia,70
Germany,71
Ghana,72
Greece,73
Grenada,74
Guatemala,75
Guinea,76
Guinea-Bissau,77
Guyana,78
Haiti,79
Honduras,80
Hong Kong,81
Hungary,82
Iceland,83
India,84
Indonesia,85
Iran,86
Iraq,87
Ireland,88
Israel,89
Italy,90
Jamaica,91
Japan,92
Jordan,93
Kazakhstan,94
Kenya,95
Kiribati,96
Kosovo,97
Kuwait,98
Kyrgyzstan,99
Laos,100
Latvia,101
Lebanon,102
Lesotho,103
Liberia,104
Libya,105
Lithuania,106
Luxembourg,107
Macao,108
Madagascar,109
Malawi,110
Malaysia,111
Maldives,112
Mali,113
Malta,114
Marshall Islands,115
Mauritania,116
Mauritius,117
Mexico,118
Moldova,119
Mongolia,120
Montenegro,121
Morocco,122
Mozambique,123
Myanmar,124
Namibia,125
Nauru,126
Nepal,127
Netherlands,128
Netherlands Antilles,129
New Caledonia,130
New Zealand,131
Nicaragua,132
Niger,133
Nigeria,134
North Korea,135
North Macedonia,136
Norway,137
Oman,138
Pakistan,139
Palau,140
Palestine,141
Panama,142
Papua New Guinea,143
Paraguay,144
Peru,145
Philippines,146
Poland,147
Portugal,148
Puerto Rico,149
Qatar,150
Romania,151
Russia,152
Rwanda,153
Saint Kitts and Nevis,154
Saint Lucia,155
Saint Vincent and the Grenadines,156
Samoa,157
San Marino,158
Sao Tome and Principe,159
Saudi Arabia,160
Senegal,161
Serbia,162
Serbia and Montenegro,163
Seychelles,164
Sierra Leone,165
Singapore,166
Sint Maarten (Dutch part),167
Slovakia,168
Slovenia,169
Solomon Islands,170
Somalia,171
South Africa,172
South Korea,173
South Sudan,174
Spain,175
Sri Lanka,176
Sudan,177
Sudan (former),178
Suriname,179
Sweden,180
Switzerland,181
Syria,182
Taiwan,183
Tajikistan,184
Tanzania,185
Thailand,186
Togo,187
Tonga,188
Trinidad and Tobago,189
Tunisia,190
Turkey,191
Turkmenistan,192
Turks and Caicos Islands,193
Tuvalu,194
USSR,195
Uganda,196
Ukraine,197
United Arab Emirates,198
United Kingdom,199
United States,200
Uruguay,201
Uzbekistan,202
Vanuatu,203
Venezuela,204
Vietnam,205
Yemen,206
Yugoslavia,207
Zambia,208
Zimbabwe,209
North America,210
World,211
